Date,Close,Open,High,Low,% Change,% Change Predict
4/3/2006,588.75,582.95,591.95,582.25,0.87%,-0.39%
4/4/2006,586.45,588.25,590.45,584.85,-0.39%,0.41%
4/5/2006,588.85,585.95,589.85,582.35,0.41%,1.09%
4/6/2006,595.25,589.15,596.95,587.2,1.09%,-1.14%
4/7/2006,588.45,596.15,598.45,585.25,-1.14%,1.96%
4/10/2006,600,589.15,600.3,588.3,1.96%,-1.08%
4/11/2006,593.5,600.1,604.4,593.1,-1.08%,0.82%
4/12/2006,598.38,593.17,600.38,593.17,0.82%,-0.31%
4/13/2006,596.5,598.5,598.8,590.9,-0.31%,0.55%
4/14/2006,599.8,596.75,599.8,595.75,0.55%,2.37%
4/17/2006,614,600.4,615.8,600.4,2.37%,1.24%
4/18/2006,621.6,614.2,622.1,612.5,1.24%,2.94%
4/19/2006,639.9,621.8,640.3,621.4,2.94%,-3.84%
4/20/2006,615.3,639.7,646.15,608.2,-3.84%,3.04%
4/21/2006,634,610.65,634.4,610.6,3.04%,-2.00%
4/24/2006,621.3,639.5,639.5,619.2,-2.00%,1.45%
4/25/2006,630.3,621.2,635.1,619,1.45%,1.38%
4/26/2006,639,630.7,640.9,628.6,1.38%,-0.78%
4/27/2006,634,639.4,643.5,627.7,-0.78%,3.23%
4/28/2006,654.5,634,655.8,633.9,3.23%,0.55%
5/1/2006,658.1,654.6,661.6,652.4,0.55%,1.44%
5/2/2006,667.6,654.5,667.7,653.5,1.44%,-0.01%
5/3/2006,667.5,668,676.8,660.5,-0.01%,1.48%
5/4/2006,677.4,667.9,677.9,660.9,1.48%,0.78%
5/5/2006,682.7,678.5,684.6,675.3,0.78%,-0.57%
5/8/2006,678.8,685.2,685.2,670.5,-0.57%,3.24%
5/9/2006,700.8,679,701,677.75,3.24%,0.96%
5/10/2006,707.5,700.7,707.5,693.8,0.96%,1.67%
5/11/2006,719.3,709.1,726.5,704.75,1.67%,-0.63%
5/12/2006,714.8,714.2,730.5,708.3,-0.63%,-4.71%
5/15/2006,681.1,714.2,721,678.1,-4.71%,1.25%
5/16/2006,689.6,679,692.5,674.5,1.25%,0.04%
5/17/2006,689.9,688.9,716.4,685.7,0.04%,-1.10%
5/18/2006,682.3,686.9,694.5,678.8,-1.10%,-3.62%
5/19/2006,657.6,683.9,688.9,651.4,-3.62%,-0.21%
5/22/2006,656.2,656.6,661.65,636.6,-0.21%,2.33%
5/23/2006,671.5,656.5,674,650.9,2.33%,-4.41%
5/24/2006,641.9,669.4,670.9,637.8,-4.41%,1.39%
5/25/2006,650.8,642.6,651.3,639,1.39%,0.18%
5/26/2006,652,650.1,655.5,640.4,0.18%,-0.23%
5/29/2006,650.5,653.15,654.1,646.4,-0.23%,0.35%
5/30/2006,652.8,651.8,665,648.6,0.35%,-1.39%
5/31/2006,643.7,653.1,659.7,638.9,-1.39%,-2.19%
6/1/2006,629.6,643.3,645.4,621.3,-2.19%,1.37%
6/2/2006,638.2,629.3,639,618.9,1.37%,-0.13%
6/5/2006,637.35,638.65,645.35,637.05,-0.13%,-1.13%
6/6/2006,630.15,635.35,639.15,625.35,-1.13%,-0.51%
6/7/2006,626.95,630.35,630.55,616.6,-0.51%,-2.36%
6/8/2006,612.15,626.95,627.45,607.85,-2.36%,-0.77%
6/9/2006,607.45,613.35,617.45,601,-0.77%,-0.26%
6/12/2006,605.85,603.85,611.75,602.85,-0.26%,-7.03%
6/13/2006,563.25,604.75,605.05,562.45,-7.03%,-0.69%
6/14/2006,559.35,564.35,571.45,543.35,-0.69%,1.90%
6/15/2006,570,560.55,576.8,554.25,1.90%,1.90%
6/16/2006,580.85,570.35,585.35,567.35,1.90%,-2.01%
6/19/2006,569.15,580.35,580.45,566.05,-2.01%,1.29%
6/20/2006,576.5,565.5,576.7,561,1.29%,1.80%
6/21/2006,586.85,575.1,590.55,570.55,1.80%,-1.06%
6/22/2006,580.65,587.35,595.15,580.35,-1.06%,0.46%
6/23/2006,583.35,580.85,586.45,571.85,0.46%,0.36%
6/26/2006,585.45,584.9,587.5,577.5,0.36%,-0.61%
6/27/2006,581.9,585.3,596.1,581.9,-0.61%,-0.29%
6/28/2006,580.2,579.5,586.8,576.9,-0.29%,3.07%
6/29/2006,598,580.4,598,579.4,3.07%,2.53%
6/30/2006,613.1,597.4,615.9,597.35,2.53%,1.86%
7/3/2006,624.5,618,625.55,617,1.86%,-0.40%
7/4/2006,622,624,624,617,-0.40%,1.04%
7/5/2006,628.45,622.35,630.85,617.85,1.04%,0.88%
7/6/2006,633.95,628.85,635.5,622.75,0.88%,-0.54%
7/7/2006,630.55,633.65,637.75,627.75,-0.54%,-1.03%
7/10/2006,624.05,630.25,632.75,620.75,-1.03%,2.77%
7/11/2006,641.35,624.15,643.75,621.75,2.77%,1.54%
7/12/2006,651.25,641.05,656.05,639.75,1.54%,1.35%
7/13/2006,660.05,650.85,661,644.75,1.35%,0.77%
7/14/2006,665.15,663.45,668.5,659.55,0.77%,-3.31%
7/17/2006,643.15,668.75,676.75,642.85,-3.31%,-1.86%
7/18/2006,631.2,642.9,654.5,628.1,-1.86%,1.72%
7/19/2006,642.05,630.85,646.75,618.3,1.72%,-2.01%
7/20/2006,629.15,643.6,645.1,629.05,-2.01%,-1.34%
7/21/2006,620.75,629.65,637.15,616.25,-1.34%,-1.33%
7/24/2006,612.48,620.88,621.12,601.98,-1.33%,1.14%
7/25/2006,619.45,615.25,624,610.15,1.14%,0.44%
7/26/2006,622.17,618.88,623.27,613.27,0.44%,1.88%
7/27/2006,633.88,624.12,640.88,624.12,1.88%,0.32%
7/28/2006,635.9,634.5,637.75,626.1,0.32%,-0.21%
7/31/2006,634.58,636.38,638.98,629.27,-0.21%,1.99%
8/1/2006,647.2,636,647.6,630.5,1.99%,0.58%
8/2/2006,650.95,647.25,656.2,645.75,0.58%,-0.91%
8/3/2006,645.05,651.85,653.5,639.35,-0.91%,0.22%
